#OTU ID	SRR5098332	SRR5098333	SRR5098339	SRR5098340	SRR5098341	SRR5098343	SRR5098346	SRR5098347	SRR5098348	SRR5098349	SRR5098351	SRR5098354	SRR5098355	SRR5098356	SRR5098357	SRR5098359	SRR5098360	SRR5098361	SRR5098363	SRR5098364	SRR5098366	SRR5098367	SRR5098368	SRR5098369	SRR5098370	SRR5098371	SRR5098372	SRR5098373	SRR5098374	SRR5098375	SRR5098376	SRR5098377	SRR5098378	SRR5098379	SRR5098380	SRR5098382	SRR5098383	SRR5098384	SRR5098385	SRR5098386	SRR5098388	SRR5098389	SRR5098390	SRR5098392	SRR5098393	SRR5098394	SRR5098395	SRR5098396	SRR5098397	SRR5098398	SRR5098400	SRR5098401	SRR5098402	SRR5098403	SRR5098404	SRR5098406	SRR5098407	SRR5098408	SRR5098409	SRR5098410	SRR5098411	SRR5098413	SRR5098415	SRR5098416	SRR5098417	SRR5098420	SRR5098421	SRR5098423	SRR5098425	SRR5098426	SRR5098427	SRR5098429	SRR5098430	SRR5098431	SRR5098432	SRR5098434	SRR5098435	SRR5098436	SRR5098438	SRR5098439	SRR5098440	SRR5098442	SRR5098443	SRR5098444	SRR5098445	SRR5098446	SRR5098447	SRR5098449	SRR5098450	SRR5098452	SRR5098453	SRR5098454	SRR5098456	SRR5098457	SRR5098458	SRR5098459	SRR5098460	SRR5098461	SRR5098465	SRR5098466	SRR5098467	SRR5098469	SRR5098470	SRR5098471	SRR5098472	SRR5098473	SRR5098474	SRR5098475	SRR5098477	SRR5098478	SRR5098479	SRR5098481	SRR5098483	SRR5098484	SRR5098486	SRR5098487	SRR5098488	SRR5098489	SRR5098490	SRR5098491	SRR5098492	SRR5098493	SRR5098494	SRR5098495	SRR5098496	SRR5098498	SRR5098499	SRR5098500	SRR5098501	SRR5098502	SRR5098503	SRR5098504	SRR5098506	SRR5098507	SRR5098508	SRR5098510	SRR5098511	SRR5098515	SRR5098516	SRR5098517	SRR5098518	SRR5098519	SRR5098520	SRR5098521	SRR5098522	SRR5098523	SRR5098524	SRR5098526	SRR5098527	SRR5098529	SRR5098531	SRR5098533	SRR5098534	SRR5098535	SRR5098536	SRR5098537	SRR5098538	SRR5098539	SRR5098540	SRR5098541	SRR5098542	SRR5098543	SRR5098544	SRR5098545	SRR5098546	SRR5098547	SRR5098548	SRR5098549	SRR5098551	SRR5098554	SRR5098555	SRR5098556	SRR5098557	SRR5098558	SRR5098559	SRR5098560	SRR5098561	SRR5098564	SRR5098565	SRR5098566	SRR5098568	SRR5098569	SRR5098571	SRR5098572	SRR5098573	SRR5098574	SRR5098575	SRR5098576	SRR5098577	SRR5098578	SRR5098579	SRR5098580	SRR5098581	SRR5098582	SRR5098583	SRR5098584	SRR5098586	SRR5098588	SRR5098589	SRR5098590	SRR5098591	SRR5098592	SRR5098593	SRR5098594	SRR5098595	SRR5098596	SRR5098597	SRR5098598	SRR5098599	SRR5098600	SRR5098601	SRR5098602	SRR5098603	SRR5098604	SRR5098605	SRR5098606	SRR5098607	SRR5098609	SRR5098610	SRR5098611	SRR5098613	SRR5098614	SRR5098668	SRR5098669	SRR5098671	SRR5098673	SRR5098675	SRR5098676	SRR5098677	SRR5098678	SRR5098679	SRR5098680	SRR5098681	SRR5098682	SRR5098685	SRR5098686	SRR5098687	SRR5098688	SRR5098689	SRR5098690	SRR5098693	SRR5098694	SRR5098695	SRR5098696	SRR5098697	SRR5098698	SRR5098699	SRR5098700	SRR5098701	SRR5098702	SRR5098703	SRR5098704	SRR5098705	SRR5098706	SRR5098708	SRR5098710	SRR5098712	SRR5098713	SRR5098714	SRR5098715	SRR5098717	SRR5098718	SRR5098719	SRR5098721	SRR5098722	SRR5098723	SRR5098724	SRR5098725	SRR5098726	SRR5098727	SRR5098728	SRR5098729	SRR5098730	SRR5098731	SRR5098732	SRR5098733	SRR5098735	SRR5098736	SRR5098737	SRR5098738	SRR5098739	SRR5098740	SRR5098741	SRR5098742	SRR5098743	SRR5098746	SRR5098747	SRR5098748	SRR5098749	SRR5098750	SRR5098752	SRR5098753	SRR5098754	SRR5098755	SRR5098756	SRR5098757	SRR5098758	SRR5098759	SRR5098761	SRR5098762	SRR5098764	SRR5098765	SRR5098767	SRR5098768	SRR5098769	SRR5098770	SRR5098771	SRR5098772	SRR5098773	SRR5098775	SRR5098776	SRR5098777	SRR5098778	SRR5098779	SRR5098780	SRR5098781	SRR5098782
OTU_1	0	244	274	0	73895	2015	1954	0	860	1857	4672	20594	10609	6254	505	18996	755	0	266	10831	12781	27820	0	2496	5	40942	0	2564	0	6546	0	435	741	0	0	562	0	164	11110	410	0	10353	1763	916	1930	21309	86	4845	1733	0	598	895	0	23437	295	1235	1069	0	90743	2378	154	31826	3417	0	0	0	67667	399	2011	134	39	637	1585	279	852	3738	161	157	3943	307	11171	2956	8179	351	512	1607	8614	1	208	245	1449	14	2367	616	572	4133	2957	3573	76	2675	163	4149	1	21592	4	1398	1626	4556	10646	406	339	378	1084	3059	593	2255	0	27013	13092	3461	200	2714	406	32	385	1358	1626	622	26402	1150	5439	47	3273	47	465	0	4707	8758	1754	8280	467	414	6143	1	0	190	1772	3198	267	0	0	3553	1	5073	1	793	2220	215	1	2908	315	1230	1636	907	89	132	851	0	451	2562	1	0	582	230	6777	14544	1427	4978	8020	3135	0	167	2837	560	949	5720	11994	100	1374	1	700	0	766	15288	8299	2	0	6422	251	1	354	216	7453	0	0	0	2222	9066	1714	9658	7507	11110	1761	11316	0	35	133	0	0	363	366	10950	2831	3304	3925	11978	410	0	629	1479	0	8880	2138	609	7123	2	4353	1660	14161	255	295	641	1353	4044	2306	0	704	370	448	3	8725	957	31644	1	0	9	10371	3351	0	3602	396	300	8278	1712	0	2483	2000	797	17147	56	345	221	0	29	954	11236	23891	14241	339	0	0	0	31999	2322	387	1352	1093	37595	247	0	0	9151	0	367	843	666	15983	4408	10058	0	95	9213	251	5566	2007	503	0	236	1030	0	1522	563	0	2105	0	134	1265
OTU_10	0	242	0	0	242	0	0	0	0	0	0	0	0	714	0	0	1	0	81	0	0	0	0	0	41	0	0	0	0	621	0	0	0	0	0	0	0	879	0	0	0	6	6630	53	0	0	0	0	0	0	0	0	1701	0	1	1	108	0	0	0	5638	0	0	0	0	0	31557	0	0	0	0	0	0	0	920	0	0	6	0	0	16760	0	0	8866	0	0	0	0	0	0	0	0	0	0	14566	0	0	0	0	0	46	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2212	258	0	40	0	0	1	0	0	0	0	0	0	594	0	38	0	650	0	1209	0	4	0	0	0	0	0	0	0	0	0	368	0	0	349	0	0	0	0	0	0	0	0	317	215	0	0	0	0	0	0	0	0	0	0	2	0	531	0	0	0	0	0	0	0	0	169	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	783	0	1791	0	0	0	0	0	813	839	0	10	147	0	14	0	0	0	0	0	0	817	0	0	0	0	0	0	0	0	0	0	1493	0	794	0	1	0	227	0	102	0	0	0	0	0	0	85	53	0	0	0	0	0	1302	241	0	0	0	0	0	0	0	0	0	0	46	0	0	58	0	548	0	0	0	0	0	0	0	0	177	0	0	0	0	0	395	0	536	0	0	0	3123	0	1	0	368	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	115	0
OTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	16
OTU_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1001	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1003	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
