file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
derep_genus_haplotypes/derep_haplotypes_Ascomycota_Phylum.fasta	FASTA	DNA	2294	672513	232	293.2	347
derep_genus_haplotypes/derep_haplotypes_Aspergillus.fasta	FASTA	DNA	1645	521239	297	316.9	340
derep_genus_haplotypes/derep_haplotypes_Aureobasidium.fasta	FASTA	DNA	393	120311	299	306.1	328
derep_genus_haplotypes/derep_haplotypes_Botryosphaeriaceae_Family.fasta	FASTA	DNA	84	25438	300	302.8	304
derep_genus_haplotypes/derep_haplotypes_Candida.fasta	FASTA	DNA	875	220781	57	252.3	298
derep_genus_haplotypes/derep_haplotypes_Capnodiales_gen_Incertae_sedis.fasta	FASTA	DNA	302	86738	203	287.2	305
derep_genus_haplotypes/derep_haplotypes_Chordomyces.fasta	FASTA	DNA	146	46128	315	315.9	317
derep_genus_haplotypes/derep_haplotypes_Cladosporium.fasta	FASTA	DNA	2772	817979	291	295.1	314
derep_genus_haplotypes/derep_haplotypes_Coprinellus.fasta	FASTA	DNA	131	45925	348	350.6	352
derep_genus_haplotypes/derep_haplotypes_Dipodascaceae_Family.fasta	FASTA	DNA	2182	443819	168	203.4	223
derep_genus_haplotypes/derep_haplotypes_Epicoccum.fasta	FASTA	DNA	61	18080	293	296.4	303
derep_genus_haplotypes/derep_haplotypes_Fusarium.fasta	FASTA	DNA	501	152301	294	304.0	335
derep_genus_haplotypes/derep_haplotypes_Ganoderma.fasta	FASTA	DNA	727	250519	339	344.6	361
derep_genus_haplotypes/derep_haplotypes_Geotrichum.fasta	FASTA	DNA	1856	378376	193	203.9	224
derep_genus_haplotypes/derep_haplotypes_Hannaella.fasta	FASTA	DNA	353	94669	265	268.2	280
derep_genus_haplotypes/derep_haplotypes_Hanseniaspora.fasta	FASTA	DNA	914	326986	72	357.8	376
derep_genus_haplotypes/derep_haplotypes_Hypocreales_Order.fasta	FASTA	DNA	315	97807	295	310.5	326
derep_genus_haplotypes/derep_haplotypes_Lasiodiplodia.fasta	FASTA	DNA	1694	516422	260	304.9	323
derep_genus_haplotypes/derep_haplotypes_Malassezia.fasta	FASTA	DNA	1383	581800	415	420.7	438
derep_genus_haplotypes/derep_haplotypes_Myxospora.fasta	FASTA	DNA	49	15576	314	317.9	320
derep_genus_haplotypes/derep_haplotypes_Neodevriesia.fasta	FASTA	DNA	58	17320	298	298.6	300
derep_genus_haplotypes/derep_haplotypes_Neurospora.fasta	FASTA	DNA	31	9199	295	296.7	297
derep_genus_haplotypes/derep_haplotypes_Nigrospora.fasta	FASTA	DNA	857	257837	296	300.9	320
derep_genus_haplotypes/derep_haplotypes_Parasola.fasta	FASTA	DNA	47	16814	356	357.7	360
derep_genus_haplotypes/derep_haplotypes_Penicillium.fasta	FASTA	DNA	1801	555740	300	308.6	326
derep_genus_haplotypes/derep_haplotypes_Periconia.fasta	FASTA	DNA	309	93120	297	301.4	306
derep_genus_haplotypes/derep_haplotypes_Pestalotiopsis.fasta	FASTA	DNA	400	124165	307	310.4	328
derep_genus_haplotypes/derep_haplotypes_Phlyctis.fasta	FASTA	DNA	132	34872	251	264.2	271
derep_genus_haplotypes/derep_haplotypes_Pichia.fasta	FASTA	DNA	4946	1303543	34	263.6	307
derep_genus_haplotypes/derep_haplotypes_Plectosphaerella.fasta	FASTA	DNA	220	70187	314	319.0	347
derep_genus_haplotypes/derep_haplotypes_Plectosphaerellaceae_Family.fasta	FASTA	DNA	89	28834	314	324.0	347
derep_genus_haplotypes/derep_haplotypes_Pleosporales_Order.fasta	FASTA	DNA	1952	587529	62	301.0	322
derep_genus_haplotypes/derep_haplotypes_Preussia.fasta	FASTA	DNA	65	19365	296	297.9	299
derep_genus_haplotypes/derep_haplotypes_Roussoella.fasta	FASTA	DNA	405	122218	300	301.8	304
derep_genus_haplotypes/derep_haplotypes_Roussoellaceae_Family.fasta	FASTA	DNA	272	81907	300	301.1	303
derep_genus_haplotypes/derep_haplotypes_Saccharomyces.fasta	FASTA	DNA	766	288538	80	376.7	396
derep_genus_haplotypes/derep_haplotypes_Saccharomycetales_Order.fasta	FASTA	DNA	2414	739918	203	306.5	384
derep_genus_haplotypes/derep_haplotypes_Saitozyma.fasta	FASTA	DNA	219	67573	90	308.6	330
derep_genus_haplotypes/derep_haplotypes_Saturnispora.fasta	FASTA	DNA	173	39834	224	230.3	251
derep_genus_haplotypes/derep_haplotypes_Sordariomycetes_Class.fasta	FASTA	DNA	549	167607	235	305.3	329
derep_genus_haplotypes/derep_haplotypes_Talaromyces.fasta	FASTA	DNA	244	74761	297	306.4	336
derep_genus_haplotypes/derep_haplotypes_Tremella.fasta	FASTA	DNA	138	41959	286	304.1	319
derep_genus_haplotypes/derep_haplotypes_Trichoderma.fasta	FASTA	DNA	429	136692	196	318.6	340
derep_genus_haplotypes/derep_haplotypes_Trichosporon.fasta	FASTA	DNA	1193	370973	255	311.0	335
derep_genus_haplotypes/derep_haplotypes_Wickerhamomyces.fasta	FASTA	DNA	1012	337434	326	333.4	351
derep_genus_haplotypes/derep_haplotypes_Xylaria.fasta	FASTA	DNA	245	74405	296	303.7	321
