file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
genus_haplotypes/haplotypes_Ascomycota_Phylum.fasta	FASTA	DNA	2589	759039	232	293.2	347
genus_haplotypes/haplotypes_Aspergillus.fasta	FASTA	DNA	2041	645925	297	316.5	340
genus_haplotypes/haplotypes_Aureobasidium.fasta	FASTA	DNA	450	137810	299	306.2	328
genus_haplotypes/haplotypes_Botryosphaeriaceae_Family.fasta	FASTA	DNA	92	27862	300	302.8	304
genus_haplotypes/haplotypes_Candida.fasta	FASTA	DNA	990	248797	57	251.3	298
genus_haplotypes/haplotypes_Capnodiales_gen_Incertae_sedis.fasta	FASTA	DNA	309	88762	203	287.3	305
genus_haplotypes/haplotypes_Chordomyces.fasta	FASTA	DNA	164	51816	315	316.0	317
genus_haplotypes/haplotypes_Cladosporium.fasta	FASTA	DNA	3662	1080538	291	295.1	314
genus_haplotypes/haplotypes_Coprinellus.fasta	FASTA	DNA	154	53990	348	350.6	352
genus_haplotypes/haplotypes_Dipodascaceae_Family.fasta	FASTA	DNA	3751	763563	168	203.6	223
genus_haplotypes/haplotypes_Epicoccum.fasta	FASTA	DNA	71	21046	293	296.4	303
genus_haplotypes/haplotypes_Fusarium.fasta	FASTA	DNA	596	181030	294	303.7	335
genus_haplotypes/haplotypes_Ganoderma.fasta	FASTA	DNA	758	261285	339	344.7	361
genus_haplotypes/haplotypes_Geotrichum.fasta	FASTA	DNA	2871	585101	193	203.8	224
genus_haplotypes/haplotypes_Hannaella.fasta	FASTA	DNA	414	111003	265	268.1	280
genus_haplotypes/haplotypes_Hanseniaspora.fasta	FASTA	DNA	1230	439812	72	357.6	376
genus_haplotypes/haplotypes_Hypocreales_Order.fasta	FASTA	DNA	378	117409	295	310.6	326
genus_haplotypes/haplotypes_Lasiodiplodia.fasta	FASTA	DNA	2176	663370	260	304.9	323
genus_haplotypes/haplotypes_Malassezia.fasta	FASTA	DNA	1730	727581	415	420.6	438
genus_haplotypes/haplotypes_Myxospora.fasta	FASTA	DNA	57	18120	314	317.9	320
genus_haplotypes/haplotypes_Neodevriesia.fasta	FASTA	DNA	59	17618	298	298.6	300
genus_haplotypes/haplotypes_Neurospora.fasta	FASTA	DNA	40	11858	295	296.5	297
genus_haplotypes/haplotypes_Nigrospora.fasta	FASTA	DNA	1007	302973	296	300.9	320
genus_haplotypes/haplotypes_Parasola.fasta	FASTA	DNA	52	18602	356	357.7	360
genus_haplotypes/haplotypes_Penicillium.fasta	FASTA	DNA	2138	659557	300	308.5	326
genus_haplotypes/haplotypes_Periconia.fasta	FASTA	DNA	373	112391	297	301.3	306
genus_haplotypes/haplotypes_Pestalotiopsis.fasta	FASTA	DNA	491	152416	307	310.4	328
genus_haplotypes/haplotypes_Phlyctis.fasta	FASTA	DNA	175	46212	251	264.1	271
genus_haplotypes/haplotypes_Pichia.fasta	FASTA	DNA	8147	2160980	34	265.2	307
genus_haplotypes/haplotypes_Plectosphaerella.fasta	FASTA	DNA	239	76356	314	319.5	347
genus_haplotypes/haplotypes_Plectosphaerellaceae_Family.fasta	FASTA	DNA	108	35003	314	324.1	347
genus_haplotypes/haplotypes_Pleosporales_Order.fasta	FASTA	DNA	2450	737263	62	300.9	322
genus_haplotypes/haplotypes_Preussia.fasta	FASTA	DNA	69	20561	296	298.0	299
genus_haplotypes/haplotypes_Roussoella.fasta	FASTA	DNA	451	136095	300	301.8	304
genus_haplotypes/haplotypes_Roussoellaceae_Family.fasta	FASTA	DNA	307	92442	300	301.1	303
genus_haplotypes/haplotypes_Saccharomyces.fasta	FASTA	DNA	1019	383896	80	376.7	396
genus_haplotypes/haplotypes_Saccharomycetales_Order.fasta	FASTA	DNA	3888	1147844	203	295.2	384
genus_haplotypes/haplotypes_Saitozyma.fasta	FASTA	DNA	251	77397	90	308.4	330
genus_haplotypes/haplotypes_Saturnispora.fasta	FASTA	DNA	208	47926	224	230.4	251
genus_haplotypes/haplotypes_Sordariomycetes_Class.fasta	FASTA	DNA	645	196966	235	305.4	329
genus_haplotypes/haplotypes_Talaromyces.fasta	FASTA	DNA	275	84310	297	306.6	336
genus_haplotypes/haplotypes_Tremella.fasta	FASTA	DNA	155	47168	286	304.3	319
genus_haplotypes/haplotypes_Trichoderma.fasta	FASTA	DNA	466	148376	196	318.4	340
genus_haplotypes/haplotypes_Trichosporon.fasta	FASTA	DNA	1728	536031	255	310.2	335
genus_haplotypes/haplotypes_Wickerhamomyces.fasta	FASTA	DNA	1217	405843	326	333.5	351
genus_haplotypes/haplotypes_Xylaria.fasta	FASTA	DNA	277	84105	296	303.6	321
